Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
